Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 256, 1, 4, 32, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 256, 1, 4, 64, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 128, 1, 1, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 2048, 1, 4, 128, 0.8307, 0.424587, 0.17244, 0.17244, 0.178353, 0.129975, 0.509497, 0, 0, 0.0196423, 0.0163644, 46.2623, 2.18405, 2.18405, 0, 0.0868537, 2, 2, 1, 1, 4, 2, 2, 4, 0.5, 1, 1, 1, 15.2725, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0173886, 0.00849376, 0.26194, 0.531009, 0, 1, 1152, 0.00403996, 0.00813766, 0.00685126, 0.00500628, 0, 0, 0, 8.1014, 2.96098, 33.9144, 50, 10, 10, 0.361781
65, 2048, 1, 2, 256, 0.829816, 0.424587, 0.173798, 0.173798, 0.178353, 0.126412, 0.487722, 0, 0, 0.0270392, 0.0243626, 63.6835, 1.78227, 1.78227, 0, 0.14443, 2, 2, 1, 1, 2, 2, 2, 4, 0.5, 1, 1, 1, 8.09085, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0258102, 0.0169154, 0.26194, 0.531009, 0, 1, 1152, 0.00403988, 0.0166275, 0.014249, 0.00500628, 0, 0, 0, 5.88518, 2.15097, 50.9461, 50, 10, 10, 0.559571
65, 1024, 1, 4, 64, 0.790452, 0.297349, 0.163877, 0.163877, 0.152715, 0.122108, 0.509497, 0, 0, 0.00983515, 0.00855807, 33.0761, 1.55189, 1.55189, 0, 0.0368029, 2, 2, 1, 1, 4, 2, 2, 4, 0.5, 1, 1, 1, 22.3121, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.00758138, 0.0029654, 0.183607, 0.318142, 0, 1, 576, 0.00210362, 0.00276029, 0.00211709, 0.0025947, 0, 0, 0, 8.08988, 3.49525, 20.3151, 50, 10, 10, 0.458235
65, 256, 1, 2, 64, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 2048, 1, 1, 512, 0.479408, 0.424587, 0.176525, 0.176525, 0.178353, 0.12453, 0.464908, 0, 0, 0.0453487, 0.0441964, 106.807, 1.67753, 1.67753, 0, 0.290374, 2, 2, 1, 1, 1, 2, 2, 4, 0.5, 1, 1, 1, 3.72522, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0447279, 0.0358331, 0.25914, 0.528208, 0, 1, 1152, 0.00403979, 0.0356132, 0.0310506, 0.00500628, 0, 0, 0, 3.50904, 1.28252, 67.9509, 50, 10, 10, 0.878835
65, 1024, 1, 1, 256, 0.510584, 0.244288, 0.211964, 0.211964, 0.138525, 0.160095, 0.472325, 0, 0, 0.0441991, 0.0450327, 180.93, 4.72826, 4.72826, 0, 0.163946, 4, 2, 1, 1, 1, 1, 2, 4, 0.5, 1, 1, 1, 3.56387, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0435348, 0.0410876, 0.107453, 0.17472, 3.60017, 2, 288, 0.00135094, 0.0257392, 0.0235551, 0.0013889, 0, 0, 0, 0.900077, 0.442364, 88.001, 50, 10, 10, 1.13422
65, 128, 1, 4, 32, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 64, 1, 1, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 128, 1, 1, 512, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 128, 1, 2, 64, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 256, 1, 2, 128, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 32, 1, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, nan, 0, 0, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 64, 1, 1, 256, 1e+39, 1e+39, 0, 0, 0, 0, 0, 0, 0, 1e+39, 1e+39, 1000, 1e+33, 1e+33, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734018, 0.282409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 64, 1, 0, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, nan, 0, 0, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 32, 1, 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, nan, 0, 0, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
65, 16, 1, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, nan, 0, 0, nan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 10, 10, nan
